year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,FL,Florida,Race/Ethnicity,Non-Hispanic Asian,6.5,19.4,29.2
2017,FL,Florida,Race/Ethnicity,Non-Hispanic Black,36.9,33.5,32.8
2017,FL,Florida,Race/Ethnicity,Non-Hispanic Other,10.6,20.4,19.4
2017,FL,Florida,Race/Ethnicity,Non-Hispanic White,25.9,28.0,35.4
2017,FL,Florida,Sex,Female,27.3,31.3,33.0
2017,FL,Florida,Sex,Male,29.6,26.9,36.0
2017,FL,Florida,Total,Total,28.4,29.2,34.4
2017,GA,Georgia,Age (years),18 - 24,16.9,19.3,40.8
2017,GA,Georgia,Age (years),25 - 34,29.1,25.5,37.4
2017,GA,Georgia,Age (years),35 - 44,37.0,30.7,35.9
2017,GA,Georgia,Age (years),45 - 54,36.2,33.1,40.6
2017,GA,Georgia,Age (years),55 - 64,38.5,36.6,41.7
2017,GA,Georgia,Age (years),65 or older,29.3,38.0,36.2
2017,GA,Georgia,Education,College graduate,25.9,19.6,31.3
2017,GA,Georgia,Education,High school graduate,34.2,36.6,41.0
2017,GA,Georgia,Education,Less than high school,35.0,45.5,44.4
2017,GA,Georgia,Education,Some college or technical school,32.7,29.2,40.7
2017,GA,Georgia,Income,"$15,000 - $24,999",37.9,39.7,40.6
2017,GA,Georgia,Income,"$25,000 - $34,999",30.2,33.5,38.6
2017,GA,Georgia,Income,"$35,000 - $49,999",33.2,30.5,40.2
2017,GA,Georgia,Income,"$50,000 - $74,999",31.6,28.6,37.6
2017,GA,Georgia,Income,"$75,000 or greater",28.3,19.9,35.5
2017,GA,Georgia,Income,Data not reported,25.8,32.4,36.9
2017,GA,Georgia,Income,"Less than $15,000",40.5,45.7,47.1
2017,GA,Georgia,Race/Ethnicity,Hispanic,27.4,34.2,33.2
2017,GA,Georgia,Race/Ethnicity,NH American Indian/Alaska Native,36.1,35.2,24.0
2017,GA,Georgia,Race/Ethnicity,Non-Hispanic 2 or more races,39.0,32.3,40.5
2017,GA,Georgia,Race/Ethnicity,Non-Hispanic Asian,14.3,22.1,27.0
2017,GA,Georgia,Race/Ethnicity,Non-Hispanic Black,35.9,31.8,39.6
2017,GA,Georgia,Race/Ethnicity,Non-Hispanic White,30.9,30.6,39.8
2017,GA,Georgia,Sex,Female,33.6,32.9,35.4
2017,GA,Georgia,Sex,Male,29.7,28.9,42.2
2017,GA,Georgia,Total,Total,31.6,31.0,38.6
2017,HI,Hawaii,Age (years),18 - 24,15.9,20.0,43.2
2017,HI,Hawaii,Age (years),25 - 34,26.8,19.7,41.8
2017,HI,Hawaii,Age (years),35 - 44,28.5,25.3,40.7
2017,HI,Hawaii,Age (years),45 - 54,29.0,24.2,37.4
2017,HI,Hawaii,Age (years),55 - 64,22.2,20.4,36.5
2017,HI,Hawaii,Age (years),65 or older,19.8,28.6,27.8
2017,HI,Hawaii,Education,College graduate,17.8,14.3,33.1
2017,HI,Hawaii,Education,High school graduate,28.6,26.8,41.2
2017,HI,Hawaii,Education,Less than high school,30.0,44.6,37.1
2017,HI,Hawaii,Education,Some college or technical school,23.3,23.3,36.9
2017,HI,Hawaii,Income,"$15,000 - $24,999",22.9,31.8,35.3
2017,HI,Hawaii,Income,"$25,000 - $34,999",26.3,24.8,39.1
2017,HI,Hawaii,Income,"$35,000 - $49,999",25.9,24.3,40.2
2017,HI,Hawaii,Income,"$50,000 - $74,999",23.9,19.4,35.0
2017,HI,Hawaii,Income,"$75,000 or greater",22.8,18.1,36.2
2017,HI,Hawaii,Income,Data not reported,19.5,27.6,36.6
2017,HI,Hawaii,Income,"Less than $15,000",27.6,34.2,40.3
2017,HI,Hawaii,Race/Ethnicity,Hispanic,33.9,22.9,41.2
2017,HI,Hawaii,Race/Ethnicity,NH Hawaiian/Pacific Islander,44.4,24.7,38.2
2017,HI,Hawaii,Race/Ethnicity,Non-Hispanic 2 or more races,37.3,23.7,39.7
2017,HI,Hawaii,Race/Ethnicity,Non-Hispanic Asian,16.1,27.3,39.7
2017,HI,Hawaii,Race/Ethnicity,Non-Hispanic Black,30.8,28.7,57.7
2017,HI,Hawaii,Race/Ethnicity,Non-Hispanic White,17.3,16.7,27.8
